iter	Passed	Remaining
560	17085	13369
561	17110	13335
562	17137	13302
563	17168	13272
564	17199	13242
565	17232	13213
566	17262	13182
567	17296	13155
568	17321	13120
569	17346	13085
570	17370	13050
571	17399	13018
572	17430	12988
573	17453	12953
574	17483	12922
575	17510	12889
576	17542	12860
577	17570	12828
578	17604	12800
579	17627	12764
580	17652	12730
581	17678	12696
582	17710	12667
583	17737	12635
584	17765	12602
585	17792	12570
586	17825	12541
587	17852	12509
588	17879	12476
589	17906	12443
590	17938	12414
591	17967	12382
592	17996	12351
593	18028	12322
594	18059	12292
595	18083	12257
596	18109	12225
597	18140	12194
598	18162	12158
599	18190	12126
600	18210	12090
601	18240	12059
602	18272	12030
603	18295	11995
604	18325	11964
605	18352	11932
606	18381	11901
607	18409	11869
608	18437	11837
609	18463	11804
610	18490	11772
611	18517	11739
612	18547	11709
613	18576	11678
614	18610	11650
615	18641	11620
616	18674	11591
617	18711	11565
618	18745	11538
619	18781	11511
620	18815	11483
621	18847	11454
622	18877	11423
623	18910	11395
624	18944	11366
625	18987	11343
626	19014	11311
627	19048	11283
628	19082	11255
629	19116	11227
630	19147	11197
631	19178	11167
632	19207	11136
633	19236	11104
634	19263	11072
635	19288	11039
636	19314	11006
637	19341	10974
638	19373	10944
639	19406	10915
640	19430	10882
641	19458	10850
642	19484	10817
643	19514	10787
644	19536	10752
645	19568	10723
646	19593	10689
647	19620	10657
648	19640	10621
649	19668	10590
650	19694	10558
651	19718	10524
652	19741	10490
653	19766	10457
654	19797	10427
655	19824	10395
656	19858	10367
657	19890	10338
658	19925	10310
659	19963	10284
660	19990	10252
661	20021	10222
662	20056	10194
663	20088	10165
664	20121	10136
665	20151	10105
666	20178	10074
667	20204	10041
668	20226	10007
669	20254	9976
670	20281	9944
671	20310	9913
672	20337	9881
673	20366	9850
674	20394	9819
675	20421	9788
676	20449	9756
677	20476	9725
678	20504	9693
679	20532	9662
680	20560	9631
681	20586	9598
682	20611	9566
683	20639	9535
684	20665	9503
685	20693	9471
686	20724	9441
687	20751	9410
688	20780	9379
689	20811	9350
690	20838	9318
691	20868	9288
692	20895	9256
693	20923	9225
694	20948	9193
695	20974	9161
696	21001	9129
697	21035	9101
698	21070	9073
699	21107	9046
700	21147	9020
701	21183	8992
702	21219	8964
703	21258	8938
704	21292	8909
705	21327	8881
706	21372	8857
707	21403	8827
708	21435	8797
709	21465	8767
710	21492	8736
711	21516	8703
712	21543	8671
713	21579	8643
714	21615	8616
715	21647	8586
716	21686	8559
717	21723	8532
718	21759	8504
719	21789	8473
720	21821	8444
721	21856	8415
722	21892	8387
723	21929	8359
724	21972	8334
725	22003	8304
726	22028	8272
727	22062	8243
728	22087	8210
729	22115	8179
730	22142	8148
731	22167	8115
732	22191	8083
733	22218	8051
734	22247	8021
735	22273	7989
736	22300	7957
737	22327	7926
738	22358	7896
739	22386	7865
740	22411	7833
741	22439	7802
742	22468	7771
743	22494	7739
744	22515	7706
745	22537	7673
746	22566	7643
747	22591	7610
748	22626	7582
749	22661	7553
750	22690	7523
751	22723	7493
752	22757	7465
753	22793	7436
754	22825	7406
755	22860	7378
756	22896	7349
757	22926	7319
758	22963	7291
759	22992	7260
760	23028	7232
761	23058	7201
762	23086	7171
763	23119	7141
764	23150	7111
765	23179	7080
766	23210	7050
767	23239	7020
768	23273	6990
769	23304	6961
770	23325	6927
771	23352	6896
772	23381	6866
773	23411	6835
774	23438	6804
775	23462	6772
776	23488	6741
777	23519	6711
778	23545	6679
779	23573	6648
780	23599	6617
781	23626	6586
782	23657	6556
783	23685	6525
784	23718	6496
785	23747	6465
786	23774	6434
787	23804	6404
788	23826	6371
789	23859	6342
790	23886	6311
791	23915	6280
792	23942	6249
793	23973	6219
794	24001	6189
795	24036	6160
796	24065	6129
797	24091	6098
798	24122	6068
799	24154	6038
800	24187	6009
801	24214	5978
802	24242	5947
803	24271	5916
804	24299	5886
805	24325	5854
806	24351	5823
807	24378	5793
808	24408	5762
809	24433	5731
810	24464	5701
811	24491	5670
812	24520	5640
813	24550	5609
814	24586	5580
815	24621	5551
816	24659	5523
817	24696	5494
818	24727	5464
819	24764	5436
820	24792	5405
821	24828	5376
822	24863	5347
